S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2415,20/08/2020,Delhi,156139,11137,140767,4235
2416,21/08/2020,Delhi,157354,11271,141826,4257
2417,22/08/2020,Delhi,158604,11426,142908,4270
2418,23/08/2020,Delhi,160016,11594,144138,4284
2419,24/08/2020,Delhi,161466,11778,145388,4300
2420,25/08/2020,Delhi,162527,11626,146588,4313
2421,26/08/2020,Delhi,164071,11998,147743,4330
2422,27/08/2020,Delhi,165764,12520,148897,4347
2423,28/08/2020,Delhi,167604,13208,150027,4369
2424,29/08/2020,Delhi,169412,13550,151473,4389
2425,30/08/2020,Delhi,171366,14040,152922,4404
2426,31/08/2020,Delhi,173390,14793,154171,4426
2427,01/09/2020,Delhi,174748,14626,155678,4444
2428,02/09/2020,Delhi,177060,15870,156728,4462
2429,03/09/2020,Delhi,179569,16502,158586,4481
2430,04/09/2020,Delhi,182306,17692,160114,4500
2431,05/09/2020,Delhi,185220,18842,161865,4513
2432,06/09/2020,Delhi,188193,19870,163785,4538
2433,07/09/2020,Delhi,191449,20909,165973,4567
2434,08/09/2020,Delhi,193526,20543,168384,4599
2435,09/09/2020,Delhi,197135,22377,170140,4618
2436,10/09/2020,Delhi,201174,23773,172763,4638
2437,11/09/2020,Delhi,205482,25416,175400,4666
2438,12/09/2020,Delhi,209748,26907,178154,4687
2439,13/09/2020,Delhi,214069,28059,181295,4715
2440,14/09/2020,Delhi,218304,28812,184748,4744
2441,15/09/2020,Delhi,221533,28641,188122,4770
2442,16/09/2020,Delhi,225796,29787,191203,4806
2443,17/09/2020,Delhi,230269,30914,194516,4839
2444,18/09/2020,Delhi,234701,31721,198103,4877
2445,19/09/2020,Delhi,238828,32250,201671,4907
2446,20/09/2020,Delhi,242899,32064,205890,4945
2447,21/09/2020,Delhi,246711,32097,209632,4982
2448,22/09/2020,Delhi,249259,30941,213304,5014
2449,23/09/2020,Delhi,253075,31623,216401,5051
2450,24/09/2020,Delhi,256789,30836,220866,5087
2451,25/09/2020,Delhi,260623,31125,224375,5123
2452,26/09/2020,Delhi,264450,30867,228436,5147
2453,27/09/2020,Delhi,267822,29717,232912,5193
2454,28/09/2020,Delhi,271114,29228,236651,5235
2455,29/09/2020,Delhi,273098,27123,240703,5272
2456,30/09/2020,Delhi,276325,27524,243481,5320
2457,01/10/2020,Delhi,279715,26908,247446,5361
2458,02/10/2020,Delhi,282752,26738,250613,5401
2459,03/10/2020,Delhi,285672,26450,253784,5438
2460,04/10/2020,Delhi,287930,25234,257224,5472
2461,05/10/2020,Delhi,290613,24753,260350,5510
2462,06/10/2020,Delhi,292560,23080,263938,5542
2463,07/10/2020,Delhi,295236,22720,266935,5581
2464,08/10/2020,Delhi,298107,22186,270305,5616
2465,09/10/2020,Delhi,300833,22232,272948,5653
2466,10/10/2020,Delhi,303693,21955,276046,5692
2467,11/10/2020,Delhi,306559,22007,278812,5740
2468,12/10/2020,Delhi,309339,21701,281869,5769
2469,13/10/2020,Delhi,311188,20535,284844,5809
2470,14/10/2020,Delhi,314224,21490,286880,5854
2471,15/10/2020,Delhi,317548,21903,289747,5898
2472,16/10/2020,Delhi,321031,22605,292502,5924
2473,17/10/2020,Delhi,324459,22814,295699,5946
2474,18/10/2020,Delhi,327718,22884,298853,5981
2475,19/10/2020,Delhi,331017,23292,301716,6009
2476,20/10/2020,Delhi,333171,22570,304561,6040
2477,21/10/2020,Delhi,336750,23922,306747,6081
2478,22/10/2020,Delhi,340436,24117,310191,6128
2479,23/10/2020,Delhi,344318,25237,312918,6163
2480,24/10/2020,Delhi,348404,26001,316214,6189
2481,25/10/2020,Delhi,352520,26467,319828,6225
2482,26/10/2020,Delhi,356656,26744,323654,6258
2483,27/10/2020,Delhi,359488,25786,327390,6312
2484,28/10/2020,Delhi,364341,27873,330112,6356
2485,29/10/2020,Delhi,370014,29378,334240,6396
2486,30/10/2020,Delhi,375753,30952,338378,6423
2487,31/10/2020,Delhi,381644,32363,342811,6470
2488,01/11/2020,Delhi,386706,32719,347476,6511
2489,02/11/2020,Delhi,392370,34173,351635,6562
2490,03/11/2020,Delhi,396371,33308,356459,6604
2491,04/11/2020,Delhi,403096,36375,360069,6652
2492,05/11/2020,Delhi,409938,37369,365866,6703
2493,06/11/2020,Delhi,416653,38729,371155,6769
2494,07/11/2020,Delhi,423831,39722,377276,6833
2495,08/11/2020,Delhi,430784,40258,383614,6912
2496,09/11/2020,Delhi,438529,41857,389683,6989
2497,10/11/2020,Delhi,443552,39795,396697,7060
2498,11/11/2020,Delhi,451382,41385,402854,7143
2499,12/11/2020,Delhi,459975,42629,410118,7228
2500,13/11/2020,Delhi,467028,43116,416580,7332
2501,14/11/2020,Delhi,474830,44329,423078,7423
2502,15/11/2020,Delhi,482170,44456,430195,7519
2503,16/11/2020,Delhi,485405,39990,437801,7614
2504,17/11/2020,Delhi,489202,40128,441361,7713
2505,18/11/2020,Delhi,495598,42004,445782,7812
2506,19/11/2020,Delhi,503084,42458,452683,7943
2507,20/11/2020,Delhi,510630,43221,459368,8041
2508,21/11/2020,Delhi,517238,40936,468143,8159
2509,22/11/2020,Delhi,523117,39741,475106,8270
2510,23/11/2020,Delhi,529863,40212,481260,8391
2511,24/11/2020,Delhi,534317,37329,488476,8512
2512,25/11/2020,Delhi,540541,38501,493419,8621
2513,26/11/2020,Delhi,545787,38287,498780,8720
2514,27/11/2020,Delhi,551262,38734,503717,8811
2515,28/11/2020,Delhi,556744,38181,509654,8909
2516,29/11/2020,Delhi,561742,36578,516166,8998
2517,30/11/2020,Delhi,566648,35091,522491,9066
2518,01/12/2020,Delhi,570374,32885,528315,9174
2519,02/12/2020,Delhi,574380,31769,533351,9260
2520,26/03/2020,Goa,3,3,0,0
2521,27/03/2020,Goa,3,3,0,0
2522,28/03/2020,Goa,3,3,0,0
2523,29/03/2020,Goa,3,3,0,0
2524,30/03/2020,Goa,5,5,0,0
2525,31/03/2020,Goa,5,5,0,0
2526,01/04/2020,Goa,5,5,0,0
2527,02/04/2020,Goa,5,5,0,0
2528,03/04/2020,Goa,6,6,0,0
2529,04/04/2020,Goa,6,6,0,0
2530,05/04/2020,Goa,7,7,0,0
2531,06/04/2020,Goa,7,7,0,0
2532,07/04/2020,Goa,7,7,0,0
2533,08/04/2020,Goa,7,7,0,0
2534,09/04/2020,Goa,7,7,0,0
2535,10/04/2020,Goa,7,7,0,0
2536,11/04/2020,Goa,7,6,1,0
2537,12/04/2020,Goa,7,2,5,0
2538,13/04/2020,Goa,7,2,5,0
2539,14/04/2020,Goa,7,2,5,0
2540,15/04/2020,Goa,7,2,5,0
2541,16/04/2020,Goa,7,2,5,0
2542,17/04/2020,Goa,7,1,6,0
2543,18/04/2020,Goa,7,1,6,0
2544,19/04/2020,Goa,7,1,6,0
2545,20/04/2020,Goa,7,0,7,0
2546,21/04/2020,Goa,7,0,7,0
2547,22/04/2020,Goa,7,0,7,0
2548,23/04/2020,Goa,7,0,7,0
2549,24/04/2020,Goa,7,0,7,0
2550,25/04/2020,Goa,7,0,7,0
2551,26/04/2020,Goa,7,0,7,0
2552,27/04/2020,Goa,7,0,7,0
2553,28/04/2020,Goa,7,0,7,0
2554,29/04/2020,Goa,7,0,7,0
2555,30/04/2020,Goa,7,0,7,0
2556,01/05/2020,Goa,7,0,7,0
2557,02/05/2020,Goa,7,0,7,0
2558,03/05/2020,Goa,7,0,7,0
2559,04/05/2020,Goa,7,0,7,0
2560,05/05/2020,Goa,7,0,7,0
2561,06/05/2020,Goa,7,0,7,0
2562,07/05/2020,Goa,7,0,7,0
2563,08/05/2020,Goa,7,0,7,0
2564,09/05/2020,Goa,7,0,7,0
2565,10/05/2020,Goa,7,0,7,0
2566,11/05/2020,Goa,7,0,7,0
2567,12/05/2020,Goa,7,0,7,0
2568,13/05/2020,Goa,7,0,7,0
2569,14/05/2020,Goa,7,0,7,0
2570,15/05/2020,Goa,14,7,7,0
2571,16/05/2020,Goa,15,8,7,0
2572,17/05/2020,Goa,17,10,7,0
2573,18/05/2020,Goa,29,22,7,0
2574,19/05/2020,Goa,38,31,7,0
2575,20/05/2020,Goa,46,39,7,0
2576,21/05/2020,Goa,50,43,7,0
2577,22/05/2020,Goa,52,45,7,0
2578,23/05/2020,Goa,54,38,16,0
2579,24/05/2020,Goa,55,39,16,0
2580,25/05/2020,Goa,66,47,19,0
2581,26/05/2020,Goa,67,48,19,0
2582,27/05/2020,Goa,67,39,28,0
2583,28/05/2020,Goa,68,31,37,0
2584,29/05/2020,Goa,69,31,38,0
2585,30/05/2020,Goa,69,28,41,0
2586,31/05/2020,Goa,70,29,41,0
2587,01/06/2020,Goa,70,28,42,0
2588,02/06/2020,Goa,71,29,42,0
2589,03/06/2020,Goa,79,22,57,0
2590,04/06/2020,Goa,79,22,57,0
2591,05/06/2020,Goa,166,109,57,0
2592,06/06/2020,Goa,196,131,65,0
2593,07/06/2020,Goa,267,202,65,0
2594,08/06/2020,Goa,300,235,65,0
2595,09/06/2020,Goa,330,263,67,0
2596,10/06/2020,Goa,359,292,67,0
2597,11/06/2020,Goa,387,320,67,0
2598,12/06/2020,Goa,417,350,67,0
2599,13/06/2020,Goa,463,394,69,0
2600,14/06/2020,Goa,523,453,70,0
2601,15/06/2020,Goa,564,490,74,0
2602,16/06/2020,Goa,592,507,85,0
2603,17/06/2020,Goa,629,544,85,0
2604,18/06/2020,Goa,656,560,96,0
2605,19/06/2020,Goa,705,596,109,0
2606,20/06/2020,Goa,725,607,118,0
2607,21/06/2020,Goa,754,625,129,0
2608,22/06/2020,Goa,754,625,129,0
2609,23/06/2020,Goa,864,711,152,1
2610,24/06/2020,Goa,909,703,205,1
2611,25/06/2020,Goa,951,660,289,2
2612,26/06/2020,Goa,995,658,335,2
2613,27/06/2020,Goa,1039,667,370,2
2614,28/06/2020,Goa,1128,706,420,2
2615,29/06/2020,Goa,1198,717,478,3
2616,30/06/2020,Goa,1198,717,478,3
2617,01/07/2020,Goa,1315,716,596,3
2618,02/07/2020,Goa,1387,713,670,4
2619,03/07/2020,Goa,1482,744,734,4
2620,04/07/2020,Goa,1482,744,734,4
2621,05/07/2020,Goa,1684,853,825,6
2622,06/07/2020,Goa,1761,818,936,7
2623,07/07/2020,Goa,1813,745,1061,7
2624,08/07/2020,Goa,1903,739,1156,8
2625,09/07/2020,Goa,2039,824,1207,8
2626,10/07/2020,Goa,2151,869,1273,9
2627,11/07/2020,Goa,2251,895,1347,9
2628,12/07/2020,Goa,2368,928,1428,12
2629,13/07/2020,Goa,2453,952,1487,14
2630,14/07/2020,Goa,2583,1026,1540,17
2631,15/07/2020,Goa,2753,1128,1607,18
2632,16/07/2020,Goa,2951,1259,1674,18
2633,17/07/2020,Goa,3108,1272,1817,19
2634,18/07/2020,Goa,3304,1337,1946,21
2635,19/07/2020,Goa,3484,1425,2038,21
2636,20/07/2020,Goa,3657,1417,2218,22
2637,21/07/2020,Goa,3853,1469,2361,23
2638,22/07/2020,Goa,4027,1552,2449,26
2639,23/07/2020,Goa,4176,1607,2541,28
2640,24/07/2020,Goa,4350,1666,2655,29
2641,25/07/2020,Goa,4540,1646,2865,29
2642,26/07/2020,Goa,4686,1606,3047,33
2643,27/07/2020,Goa,4861,1549,3277,35
2644,28/07/2020,Goa,5119,1673,3410,36
2645,29/07/2020,Goa,5287,1656,3595,36
2646,30/07/2020,Goa,5489,1666,3784,39
2647,31/07/2020,Goa,5704,1657,4005,42
2648,01/08/2020,Goa,5913,1657,4211,45
2649,02/08/2020,Goa,6193,1707,4438,48
2650,03/08/2020,Goa,6530,1809,4668,53
2651,04/08/2020,Goa,6816,1884,4876,56
2652,05/08/2020,Goa,7075,1901,5114,60
2653,06/08/2020,Goa,7423,2072,5287,64
2654,07/08/2020,Goa,7614,2095,5453,66
2655,08/08/2020,Goa,7947,2282,5595,70
2656,09/08/2020,Goa,8206,2332,5802,72
2657,10/08/2020,Goa,8712,2642,5995,75
2658,11/08/2020,Goa,9029,2741,6208,80
2659,12/08/2020,Goa,9444,2878,6480,86
2660,13/08/2020,Goa,9924,3194,6641,89
2661,14/08/2020,Goa,10494,3491,6912,91
2662,15/08/2020,Goa,10970,3720,7157,93
2663,16/08/2020,Goa,11339,3753,7488,98
2664,17/08/2020,Goa,11639,3760,7775,104
2665,18/08/2020,Goa,11994,3825,8058,111
2666,19/08/2020,Goa,12333,3861,8356,116
2667,20/08/2020,Goa,12675,3838,8713,124
2668,21/08/2020,Goa,13099,3910,9063,126
2669,22/08/2020,Goa,13484,3809,9540,135
2670,23/08/2020,Goa,13790,3631,10019,140
2671,24/08/2020,Goa,13999,3383,10472,144
2672,25/08/2020,Goa,14138,3081,10909,148
2673,26/08/2020,Goa,14530,3149,11224,157
2674,27/08/2020,Goa,15027,3351,11511,165
2675,28/08/2020,Goa,15483,3445,11867,171
2676,29/08/2020,Goa,16006,3535,12296,175
2677,30/08/2020,Goa,16553,3646,12729,178
2678,31/08/2020,Goa,17004,3635,13186,183
2679,01/09/2020,Goa,17418,3649,13577,192
2680,02/09/2020,Goa,18006,3962,13850,194
2681,03/09/2020,Goa,18642,4379,14059,204
2682,04/09/2020,Goa,19355,4782,14361,212
2683,05/09/2020,Goa,19863,4896,14747,220
2684,06/09/2020,Goa,20455,4945,15281,229
2685,07/09/2020,Goa,20829,4754,15839,236
2686,08/09/2020,Goa,21173,4501,16427,245
2687,09/09/2020,Goa,21630,4499,16875,256
2688,10/09/2020,Goa,22251,4833,17156,262
2689,11/09/2020,Goa,22890,5030,17592,268
2690,12/09/2020,Goa,23445,5104,18065,276
2691,13/09/2020,Goa,24185,5323,18576,286
2692,14/09/2020,Goa,24592,5173,19129,290
2693,15/09/2020,Goa,24898,4946,19648,304
2694,16/09/2020,Goa,25511,5102,20094,315
2695,17/09/2020,Goa,26139,5375,20445,319
2696,18/09/2020,Goa,26783,5612,20844,327
2697,19/09/2020,Goa,27379,5730,21314,335
2698,20/09/2020,Goa,28022,5920,21760,342
2699,21/09/2020,Goa,28429,5781,22297,351
2700,22/09/2020,Goa,28753,5667,22726,360
2701,23/09/2020,Goa,29343,5513,23462,368
2702,24/09/2020,Goa,29879,5646,23857,376
2703,25/09/2020,Goa,30552,5822,24347,383
2704,26/09/2020,Goa,31071,5614,25071,386
2705,27/09/2020,Goa,31574,5424,25759,391
2706,28/09/2020,Goa,31958,5097,26460,401
2707,29/09/2020,Goa,32396,4917,27072,407
2708,30/09/2020,Goa,32777,4577,27781,419
2709,01/10/2020,Goa,33418,4865,28125,428
2710,02/10/2020,Goa,33942,4977,28525,440
2711,03/10/2020,Goa,34455,5009,29004,442
2712,04/10/2020,Goa,34900,4923,29527,450
2713,05/10/2020,Goa,35328,4839,30033,456
2714,06/10/2020,Goa,35719,4803,30456,460
2715,07/10/2020,Goa,36238,4720,31050,468
2716,08/10/2020,Goa,36670,4749,31444,477
2717,09/10/2020,Goa,37102,4716,31902,484
2718,10/10/2020,Goa,37591,4783,32317,491
2719,11/10/2020,Goa,37934,4658,32777,499
2720,12/10/2020,Goa,38366,4656,33203,507
2721,13/10/2020,Goa,38674,4465,33698,511
2722,14/10/2020,Goa,39082,4316,34252,514
2723,15/10/2020,Goa,39438,4188,34731,519
2724,16/10/2020,Goa,39770,4084,35161,525
2725,17/10/2020,Goa,40091,3950,35610,531
2726,18/10/2020,Goa,40400,3827,36035,538
2727,19/10/2020,Goa,40587,3648,36395,544
2728,20/10/2020,Goa,40746,3283,36914,549
2729,21/10/2020,Goa,41031,3201,37275,555
2730,22/10/2020,Goa,41339,3099,37683,557
2731,23/10/2020,Goa,41586,2991,38031,564
2732,24/10/2020,Goa,41813,2824,38421,568
2733,25/10/2020,Goa,42031,2692,38769,570
2734,26/10/2020,Goa,42242,2576,39090,576
2735,27/10/2020,Goa,42532,2517,39433,582
2736,28/10/2020,Goa,42747,2384,39778,585
2737,29/10/2020,Goa,42968,2402,39974,592
2738,30/10/2020,Goa,43201,2436,40168,597
2739,31/10/2020,Goa,43416,2405,40409,602
2740,01/11/2020,Goa,43626,2344,40678,604
2741,02/11/2020,Goa,43768,2244,40915,609
2742,03/11/2020,Goa,43954,2215,41123,616
2743,04/11/2020,Goa,44189,2209,41362,618
2744,05/11/2020,Goa,44372,2135,41611,626
2745,06/11/2020,Goa,44544,2065,41849,630
2746,07/11/2020,Goa,44747,2058,42056,633
2747,08/11/2020,Goa,44916,2036,42239,641
2748,09/11/2020,Goa,45065,1976,42446,643
2749,10/11/2020,Goa,45209,1884,42678,647
2750,11/11/2020,Goa,45389,1861,42877,651
2751,12/11/2020,Goa,45498,1813,43029,656
2752,13/11/2020,Goa,45605,1728,43221,656
2753,14/11/2020,Goa,45761,1715,43388,658
2754,15/11/2020,Goa,45845,1653,43533,659
2755,16/11/2020,Goa,45903,1585,43656,662
2756,17/11/2020,Goa,46028,1424,43941,663
2757,18/11/2020,Goa,46182,1383,44132,667
2758,19/11/2020,Goa,46344,1364,44310,670
2759,20/11/2020,Goa,46480,1343,44467,670
2760,21/11/2020,Goa,46632,1295,44665,672
2761,22/11/2020,Goa,46748,1261,44812,675
2762,23/11/2020,Goa,46826,1170,44979,677
2763,24/11/2020,Goa,46901,1141,45083,677
2764,25/11/2020,Goa,47068,1221,45168,679
2765,26/11/2020,Goa,47193,1281,45229,683
2766,27/11/2020,Goa,47341,1316,45340,685
2767,28/11/2020,Goa,47491,1313,45492,686
2768,29/11/2020,Goa,47689,1348,45655,686
2769,30/11/2020,Goa,47804,1327,45790,687
2770,01/12/2020,Goa,47963,1335,45940,688
2771,02/12/2020,Goa,48124,1366,46068,690
2772,20/03/2020,Gujarat,2,2,0,0
2773,21/03/2020,Gujarat,7,7,0,0
2774,22/03/2020,Gujarat,18,17,0,1
2775,23/03/2020,Gujarat,29,28,0,1
2776,24/03/2020,Gujarat,29,28,0,1
2777,25/03/2020,Gujarat,33,32,0,1
2778,26/03/2020,Gujarat,38,36,0,2
2779,27/03/2020,Gujarat,43,40,0,3
2780,28/03/2020,Gujarat,45,42,0,3
2781,29/03/2020,Gujarat,53,49,0,4
2782,30/03/2020,Gujarat,58,52,1,5
2783,31/03/2020,Gujarat,73,64,3,6
2784,01/04/2020,Gujarat,74,63,5,6
2785,02/04/2020,Gujarat,82,71,5,6
2786,03/04/2020,Gujarat,87,72,8,7
2787,04/04/2020,Gujarat,95,76,10,9
2788,05/04/2020,Gujarat,105,81,14,10
2789,06/04/2020,Gujarat,122,93,18,11
2790,07/04/2020,Gujarat,144,110,22,12
2791,08/04/2020,Gujarat,165,127,25,13
2792,09/04/2020,Gujarat,179,138,25,16
2793,10/04/2020,Gujarat,241,198,26,17
2794,11/04/2020,Gujarat,308,258,31,19
2795,12/04/2020,Gujarat,432,366,44,22
2796,13/04/2020,Gujarat,516,447,44,25
2797,14/04/2020,Gujarat,539,459,54,26
2798,15/04/2020,Gujarat,650,563,59,28
2799,16/04/2020,Gujarat,766,669,64,33
2800,17/04/2020,Gujarat,930,821,73,36
2801,18/04/2020,Gujarat,1099,972,86,41
2802,19/04/2020,Gujarat,1376,1230,93,53
2803,20/04/2020,Gujarat,1743,1575,105,63
2804,21/04/2020,Gujarat,1939,1737,131,71
2805,22/04/2020,Gujarat,2178,1949,139,90
2806,23/04/2020,Gujarat,2407,2125,179,103
2807,24/04/2020,Gujarat,2624,2254,258,112
2808,25/04/2020,Gujarat,2815,2423,265,127
2809,26/04/2020,Gujarat,3071,2656,282,133
2810,27/04/2020,Gujarat,3301,2837,313,151
2811,28/04/2020,Gujarat,3548,2992,394,162
2812,29/04/2020,Gujarat,3744,3129,434,181
2813,30/04/2020,Gujarat,4082,3358,527,197
2814,01/05/2020,Gujarat,4395,3568,613,214
2815,02/05/2020,Gujarat,4721,3750,735,236
2816,03/05/2020,Gujarat,5054,3896,896,262
2817,04/05/2020,Gujarat,5428,4096,1042,290
2818,05/05/2020,Gujarat,5804,4290,1195,319
2819,06/05/2020,Gujarat,6245,4496,1381,368
2820,07/05/2020,Gujarat,6625,4729,1500,396
2821,08/05/2020,Gujarat,7012,4878,1709,425
2822,09/05/2020,Gujarat,7402,5081,1872,449
2823,10/05/2020,Gujarat,7796,5233,2091,472
2824,11/05/2020,Gujarat,8194,5156,2545,493
2825,12/05/2020,Gujarat,8541,5248,2780,513
2826,13/05/2020,Gujarat,8903,5120,3246,537
2827,14/05/2020,Gujarat,9267,5139,3562,566
2828,15/05/2020,Gujarat,9591,5252,3753,586
2829,16/05/2020,Gujarat,9931,5290,4035,606
2830,17/05/2020,Gujarat,10988,6055,4308,625
2831,18/05/2020,Gujarat,11379,6221,4499,659
2832,19/05/2020,Gujarat,11745,6247,4804,694
2833,20/05/2020,Gujarat,12140,6378,5043,719
2834,21/05/2020,Gujarat,12537,6569,5219,749
2835,22/05/2020,Gujarat,12905,6644,5488,773
2836,23/05/2020,Gujarat,13268,6586,5880,802
2837,24/05/2020,Gujarat,13664,6666,6169,829
2838,25/05/2020,Gujarat,14056,6786,6412,858
2839,26/05/2020,Gujarat,14460,6936,6636,888
2840,27/05/2020,Gujarat,14821,6767,7139,915
2841,28/05/2020,Gujarat,15195,6708,7549,938
2842,29/05/2020,Gujarat,15562,6599,8003,960
2843,30/05/2020,Gujarat,15934,6343,8611,980
2844,31/05/2020,Gujarat,16343,6106,9230,1007
2845,01/06/2020,Gujarat,16779,5822,9919,1038
2846,02/06/2020,Gujarat,17200,5357,10780,1063
2847,03/06/2020,Gujarat,17617,4631,11894,1092
2848,04/06/2020,Gujarat,18100,4766,12212,1122
2849,05/06/2020,Gujarat,18584,4762,12667,1155
2850,06/06/2020,Gujarat,19094,4901,13003,1190
2851,07/06/2020,Gujarat,19592,5057,13316,1219
2852,08/06/2020,Gujarat,20070,5186,13635,1249
2853,09/06/2020,Gujarat,20545,5309,13956,1280
2854,10/06/2020,Gujarat,21014,5336,14365,1313
2855,11/06/2020,Gujarat,21521,5439,14735,1347
2856,12/06/2020,Gujarat,22032,5546,15101,1385
2857,13/06/2020,Gujarat,22527,5619,15493,1415
2858,14/06/2020,Gujarat,23038,5707,15883,1448
2859,15/06/2020,Gujarat,23544,5742,16325,1477
2860,16/06/2020,Gujarat,24055,5886,16664,1505
2861,17/06/2020,Gujarat,24577,5962,17082,1533
2862,18/06/2020,Gujarat,25093,6103,17430,1560
2863,19/06/2020,Gujarat,25601,6191,17819,1591
2864,20/06/2020,Gujarat,26141,6364,18159,1618
2865,21/06/2020,Gujarat,26680,6348,18694,1638
2866,22/06/2020,Gujarat,27260,6248,19349,1663
2867,23/06/2020,Gujarat,27825,6232,19909,1684
2868,24/06/2020,Gujarat,28371,6148,20513,1710
2869,25/06/2020,Gujarat,28943,6120,21088,1735
2870,26/06/2020,Gujarat,29520,6269,21498,1753
2871,27/06/2020,Gujarat,30095,6294,22030,1771
2872,28/06/2020,Gujarat,30709,6511,22409,1789
2873,29/06/2020,Gujarat,31320,6712,22800,1808
2874,30/06/2020,Gujarat,31938,6871,23240,1827
2875,01/07/2020,Gujarat,32557,7049,23662,1846
2876,02/07/2020,Gujarat,33232,7335,24030,1867
2877,03/07/2020,Gujarat,33913,7434,24593,1886
2878,04/07/2020,Gujarat,34600,7763,24933,1904
2879,05/07/2020,Gujarat,35312,7981,25406,1925
2880,06/07/2020,Gujarat,36037,8202,25892,1943
2881,07/07/2020,Gujarat,36772,8497,26315,1960
2882,08/07/2020,Gujarat,37550,8853,26720,1977
2883,09/07/2020,Gujarat,38333,9051,27289,1993
2884,10/07/2020,Gujarat,39194,9468,27718,2008
2885,11/07/2020,Gujarat,40069,9900,28147,2022
2886,12/07/2020,Gujarat,40941,10260,28649,2032
2887,13/07/2020,Gujarat,41820,10613,29162,2045
2888,14/07/2020,Gujarat,42722,10897,29770,2055
2889,15/07/2020,Gujarat,43637,11065,30503,2069
2890,16/07/2020,Gujarat,44552,11187,31286,2079
2891,17/07/2020,Gujarat,45481,11289,32103,2089
2892,18/07/2020,Gujarat,46430,11351,32973,2106
2893,19/07/2020,Gujarat,47390,11233,34035,2122
2894,20/07/2020,Gujarat,48355,11312,34901,2142
2895,21/07/2020,Gujarat,49353,11513,35678,2162
2896,22/07/2020,Gujarat,50379,11760,36423,2196
2897,23/07/2020,Gujarat,51399,11915,37260,2224
2898,24/07/2020,Gujarat,52477,12247,37978,2252
2899,25/07/2020,Gujarat,53545,12418,38849,2278
2900,26/07/2020,Gujarat,54626,12695,39631,2300
2901,27/07/2020,Gujarat,55822,13131,40365,2326
2902,28/07/2020,Gujarat,56874,13146,41380,2348
2903,29/07/2020,Gujarat,57982,13198,42412,2372
2904,30/07/2020,Gujarat,59126,13535,43195,2396
2905,31/07/2020,Gujarat,60285,13793,44074,2418
2906,01/08/2020,Gujarat,61438,14090,44907,2441
2907,02/08/2020,Gujarat,62463,14300,45699,2464
2908,03/08/2020,Gujarat,63562,14572,46504,2486
2909,04/08/2020,Gujarat,64585,14599,47478,2508
2910,05/08/2020,Gujarat,65599,14690,48376,2533
2911,06/08/2020,Gujarat,66669,14680,49433,2556
2912,07/08/2020,Gujarat,67699,14766,50350,2583
2913,08/08/2020,Gujarat,68768,14443,51720,2605
2914,09/08/2020,Gujarat,69869,14386,52855,2628
2915,10/08/2020,Gujarat,70965,14147,54166,2652
2916,11/08/2020,Gujarat,72031,14055,55304,2672
2917,12/08/2020,Gujarat,73163,14024,56444,2695
2918,13/08/2020,Gujarat,74318,14184,57421,2713
2919,14/08/2020,Gujarat,75408,14210,58467,2731
2920,15/08/2020,Gujarat,76480,14196,59538,2746
2921,16/08/2020,Gujarat,77559,14241,60553,2765
2922,17/08/2020,Gujarat,78680,14383,61512,2785
2923,18/08/2020,Gujarat,79710,14315,62595,2800
2924,19/08/2020,Gujarat,80802,14279,63703,2820
2925,20/08/2020,Gujarat,81942,14282,64823,2837
2926,21/08/2020,Gujarat,83107,14308,65946,2853
2927,22/08/2020,Gujarat,84311,14177,67267,2867
2928,23/08/2020,Gujarat,85523,14399,68243,2881
2929,24/08/2020,Gujarat,86624,14517,69212,2895
2930,25/08/2020,Gujarat,87691,14552,70231,2908
2931,26/08/2020,Gujarat,88805,14641,71236,2928
2932,27/08/2020,Gujarat,89994,14767,72282,2945
2933,28/08/2020,Gujarat,91179,14742,73475,2962
2934,29/08/2020,Gujarat,92452,14951,74525,2976
2935,30/08/2020,Gujarat,93734,15109,75636,2989
2936,31/08/2020,Gujarat,95009,15272,76731,3006
2937,01/09/2020,Gujarat,96300,15524,77756,3020
2938,02/09/2020,Gujarat,97629,15708,78887,3034
2939,03/09/2020,Gujarat,98888,15913,79929,3046
2940,04/09/2020,Gujarat,100213,16096,81055,3062
2941,05/09/2020,Gujarat,101533,16184,82273,3076
2942,06/09/2020,Gujarat,102844,16334,83419,3091
2943,07/09/2020,Gujarat,104179,16443,84631,3105
2944,08/09/2020,Gujarat,105509,16482,85907,3120
2945,09/09/2020,Gujarat,106804,16319,87352,3133
2946,10/09/2020,Gujarat,108133,16296,88688,3149
2947,11/09/2020,Gujarat,109465,16198,90103,3164
2948,12/09/2020,Gujarat,110809,16286,91343,3180
2949,13/09/2020,Gujarat,112174,16301,92678,3195
2950,14/09/2020,Gujarat,113500,16407,93883,3210
2951,15/09/2020,Gujarat,114834,16469,95138,3227
2952,16/09/2020,Gujarat,116183,16357,96582,3244
2953,17/09/2020,Gujarat,117547,16262,98029,3256
2954,18/09/2020,Gujarat,118926,15975,99681,3270
2955,19/09/2020,Gujarat,120336,16076,100974,3286
2956,20/09/2020,Gujarat,121768,16022,102444,3302
2957,21/09/2020,Gujarat,123175,16208,103648,3319
2958,22/09/2020,Gujarat,124605,16305,104964,3336
2959,23/09/2020,Gujarat,126007,16370,106285,3352
2960,24/09/2020,Gujarat,127379,16438,107574,3367
